"location","year","Depressive disorders","Major depressive disorder","Dysthymia","Anxiety disorders","mn_pos","mn_neg","ratio","total"
"Ecuador",2017,2.94266240329,2.03070700002,0.958479550104,4.34868732957,210.277227722772,146.445544554455,0.696440342781806,356.722772277228
"Norway",2017,4.2005878711,2.54624764308,1.7363705752,7.79617934776,157,101.3125,0.645302547770701,258.3125
"Philippines",2017,2.51184689354,1.14450905425,1.40467538425,3.14456906868,174.875,116.875,0.668334524660472,291.75
"Dominican Republic",2017,2.98126999248,2.05649384707,0.971123330543,4.66014276289,210.277227722772,146.445544554455,0.696440342781806,356.722772277228
"Laos",2017,2.58006243941,1.28652933328,1.3323203192,4.01584425999,138,92.8,0.672463768115942,230.8
"Sudan",2017,3.09613542787,2.32885260491,0.824014840205,4.52067232538,271.964285714286,137.428571428571,0.505318450426789,409.392857142857
"Peru",2017,2.23415218654,1.30978713506,0.95241514952,4.23608913186,210.277227722772,146.445544554455,0.696440342781806,356.722772277228
"Iraq",2017,3.39207233683,2.55614882211,0.904367892873,4.50970643176,271.964285714286,137.428571428571,0.505318450426789,409.392857142857
"Montenegro",2017,3.08440481795,1.9850117599,1.14980066853,3.7014082496,67.05,85.6,1.27665920954512,152.65
"Cameroon",2017,2.73508631298,1.93943847629,0.84849415424,2.72282645505,20,16,0.8,36
"Ukraine",2017,5.18093839151,3.36733358584,1.94991765685,3.18301818049,77.3670491883674,59.8573635427394,0.773680322187334,137.224412731107
"Cuba",2017,4.09462027628,2.95285437563,1.22267047138,4.9911329464,210.277227722772,146.445544554455,0.696440342781806,356.722772277228
"Tunisia",2017,4.20298352831,3.07084979199,1.21792840905,5.28505326812,271.964285714286,137.428571428571,0.505318450426789,409.392857142857
"Grenada",2017,3.03558044281,2.00557498137,1.07615690806,4.70932631785,20,16,0.8,36
"Paraguay",2017,2.84385402625,1.90068988233,0.988708027274,5.95935379857,210.277227722772,146.445544554455,0.696440342781806,356.722772277228
"Italy",2017,4.10667620844,2.49958743009,1.68521713125,5.81029044279,181.245283018868,121.169811320755,0.668540495523631,302.415094339623
"Germany",2017,4.63108567563,2.58883457751,2.13866827113,6.67074170321,162.047297297297,106.195945945946,0.655339198599008,268.243243243243
"Bahrain",2017,4.38626659555,3.32372769837,1.14932268511,5.05994907575,271.964285714286,137.428571428571,0.505318450426789,409.392857142857
